Abril,Agosto,Diciembre,Enero,Febrero,Indicador,Julio,Junio,Marzo,Mayo,cvegeomuni,Noviembre,Octubre,Septiembre,Unidad de Medida
0,0,1,,,Casos de Dengue,0,0,0,0,14001,1,0,0,Casos
0,1,1,,,Casos de Dengue,1,1,0,0,14002,1,1,1,Casos
0,0,15,,,Casos de Dengue,0,0,0,0,14003,15,12,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14004,0,0,0,Casos
0,91,93,,,Casos de Dengue,77,4,0,0,14005,93,92,92,Casos
0,0,31,,,Casos de Dengue,0,0,0,0,14006,30,16,7,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14008,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14010,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14011,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14012,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14013,0,0,0,Casos
1,2,6,,,Casos de Dengue,2,1,1,1,14014,5,2,2,Casos
0,9,52,,,Casos de Dengue,6,1,0,0,14015,48,27,21,Casos
0,0,1,,,Casos de Dengue,0,0,0,0,14016,1,1,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14017,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14019,0,0,0,Casos
5,8,30,,,Casos de Dengue,7,7,0,7,14020,30,19,10,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14117,0,0,0,Casos
6,37,59,1,2,Casos de Dengue,35,30,4,18,14021,59,52,41,Casos
0,1,8,,,Casos de Dengue,0,0,0,0,14030,8,4,2,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14031,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14032,0,0,0,Casos
21,31,81,1,4,Casos de Dengue,31,28,11,21,14022,76,51,43,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14024,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14025,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14026,0,0,0,Casos
3,14,26,1,3,Casos de Dengue,12,9,3,3,14027,25,22,21,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14028,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14029,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14033,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14034,0,0,0,Casos
0,0,12,,,Casos de Dengue,0,0,0,0,14009,11,6,0,Casos
1,3,17,,,Casos de Dengue,3,2,0,1,14037,17,15,11,Casos
0,17,19,,,Casos de Dengue,14,5,0,0,14054,19,19,18,Casos
4,5,26,,3,Casos de Dengue,4,4,3,4,14070,23,19,9,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14035,0,0,0,Casos
0,0,1,,,Casos de Dengue,0,0,0,0,14036,0,0,0,Casos
0,0,1,,,Casos de Dengue,0,0,0,0,14079,1,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14038,0,0,0,Casos
16,94,484,2,11,Casos de Dengue,51,28,12,20,14039,458,297,203,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14040,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14041,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14042,0,0,0,Casos
0,2,2,,,Casos de Dengue,2,1,0,0,14044,2,2,2,Casos
0,0,1,,,Casos de Dengue,0,0,0,0,14045,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14046,0,0,0,Casos
0,0,1,,,Casos de Dengue,0,0,0,0,14047,1,1,1,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14048,0,0,0,Casos
0,1,7,,,Casos de Dengue,1,1,0,0,14049,7,5,4,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14050,0,0,0,Casos
0,0,1,,,Casos de Dengue,0,0,0,0,14051,1,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14052,0,0,0,Casos
0,0,10,,,Casos de Dengue,0,0,0,0,14018,10,3,1,Casos
5,16,88,1,3,Casos de Dengue,14,9,5,8,14043,85,46,30,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14057,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14053,0,0,0,Casos
0,1,4,,,Casos de Dengue,1,1,0,0,14055,4,1,1,Casos
0,1,1,,,Casos de Dengue,1,0,0,0,14058,1,1,1,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14059,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14060,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14061,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14062,0,0,0,Casos
0,58,163,,,Casos de Dengue,48,3,0,0,14063,161,122,106,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14064,0,0,0,Casos
0,5,25,,,Casos de Dengue,3,1,0,0,14065,23,12,11,Casos
0,1,2,0,,Casos de Dengue,1,0,0,0,14066,2,1,1,Casos
20,69,418,2,12,Casos de Dengue,52,42,17,25,14067,398,254,134,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14069,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14071,0,0,0,Casos
0,0,0,,,Casos de Dengue,0,0,0,0,14072,0,0,0,Casos
0,0,3,,,Casos de Dengue,0,0,0,0,14113,3,2,2,Casos
